Station:;Zürich [16];;
Kanal:;P_Anz;;
ME:;1/cm³;;
Spalten-ID:;5;8;
10.07.2023 01:10;10250;gültig;
10.07.2023 01:20;9153;gültig;
10.07.2023 01:30;8406;gültig;
10.07.2023 01:40;8742;gültig;
10.07.2023 01:50;7897;gültig;
10.07.2023 02:00;7907;gültig;
10.07.2023 02:10;9181;gültig;
10.07.2023 02:20;9450;gültig;
10.07.2023 02:30;8170;gültig;
10.07.2023 02:40;7417;gültig;
10.07.2023 02:50;7374;gültig;
10.07.2023 03:00;7172;gültig;
10.07.2023 03:10;7780;gültig;
10.07.2023 03:20;8344;gültig;
10.07.2023 03:30;9493;gültig;
10.07.2023 03:40;7907;gültig;
10.07.2023 03:50;7831;gültig;
10.07.2023 04:00;7232;gültig;
10.07.2023 04:10;6780;gültig;
10.07.2023 04:20;6768;gültig;
10.07.2023 04:30;6594;gültig;
10.07.2023 04:40;6552;gültig;
10.07.2023 04:50;6858;gültig;
10.07.2023 05:00;6757;gültig;
10.07.2023 05:10;6535;gültig;
10.07.2023 05:20;6836;gültig;
10.07.2023 05:30;9659;gültig;
10.07.2023 05:40;11405;gültig;
10.07.2023 05:50;11600;gültig;
10.07.2023 06:00;13416;gültig;
10.07.2023 06:10;12678;gültig;
10.07.2023 06:20;10702;gültig;
10.07.2023 06:30;10769;gültig;
10.07.2023 06:40;12385;gültig;
10.07.2023 06:50;12183;gültig;
10.07.2023 07:00;14749;gültig;
10.07.2023 07:10;13164;gültig;
10.07.2023 07:20;11517;gültig;
10.07.2023 07:30;13529;gültig;
10.07.2023 07:40;13447;gültig;
10.07.2023 07:50;11830;gültig;
10.07.2023 08:00;9707;gültig;
10.07.2023 08:10;7267;gültig;
10.07.2023 08:20;8808;gültig;
10.07.2023 08:30;8766;gültig;
10.07.2023 08:40;7613;gültig;
10.07.2023 08:50;8087;gültig;
10.07.2023 09:00;8324;gültig;
10.07.2023 09:10;8756;gültig;
10.07.2023 09:20;8514;gültig;
10.07.2023 09:30;7656;gültig;
10.07.2023 09:40;7596;gültig;
10.07.2023 09:50;9770;gültig;
10.07.2023 10:00;9802;gültig;
10.07.2023 10:10;10585;gültig;
10.07.2023 10:20;16684;gültig;
10.07.2023 10:30;12156;gültig;
10.07.2023 10:40;11320;gültig;
10.07.2023 10:50;11320;gültig;
10.07.2023 11:00;10204;gültig;
10.07.2023 11:10;8927;gültig;
10.07.2023 11:20;7310;gültig;
10.07.2023 11:30;6648;gültig;
10.07.2023 11:40;7356;gültig;
10.07.2023 11:50;9880;gültig;
10.07.2023 12:00;7843;gültig;
10.07.2023 12:10;8933;gültig;
10.07.2023 12:20;9033;gültig;
10.07.2023 12:30;8811;gültig;
10.07.2023 12:40;8652;gültig;
10.07.2023 12:50;9151;gültig;
10.07.2023 13:00;6904;gültig;
10.07.2023 13:10;5429;gültig;
10.07.2023 13:20;6353;gültig;
10.07.2023 13:30;6530;gültig;
10.07.2023 13:40;7036;gültig;
10.07.2023 13:50;6972;gültig;
10.07.2023 14:00;6089;gültig;
10.07.2023 14:10;6726;gültig;
10.07.2023 14:20;7405;gültig;
10.07.2023 14:30;8237;gültig;
10.07.2023 14:40;7050;gültig;
10.07.2023 14:50;9026;gültig;
10.07.2023 15:00;8064;gültig;
10.07.2023 15:10;8033;gültig;
10.07.2023 15:20;7516;gültig;
10.07.2023 15:30;6915;gültig;
10.07.2023 15:40;7527;gültig;
10.07.2023 15:50;7877;gültig;
10.07.2023 16:00;8152;gültig;
10.07.2023 16:10;8866;gültig;
10.07.2023 16:20;7850;gültig;
10.07.2023 16:30;7150;gültig;
10.07.2023 16:40;6460;gültig;
10.07.2023 16:50;6226;gültig;
10.07.2023 17:00;5759;gültig;
10.07.2023 17:10;6005;gültig;
10.07.2023 17:20;7586;gültig;
10.07.2023 17:30;8154;gültig;
10.07.2023 17:40;6121;gültig;
10.07.2023 17:50;6523;gültig;
10.07.2023 18:00;6933;gültig;
10.07.2023 18:10;6719;gültig;
10.07.2023 18:20;8465;gültig;
10.07.2023 18:30;8825;gültig;
10.07.2023 18:40;8291;gültig;
10.07.2023 18:50;8629;gültig;
10.07.2023 19:00;8553;gültig;
10.07.2023 19:10;8741;gültig;
10.07.2023 19:20;8453;gültig;
10.07.2023 19:30;6322;gültig;
10.07.2023 19:40;5997;gültig;
10.07.2023 19:50;6663;gültig;
10.07.2023 20:00;7291;gültig;
10.07.2023 20:10;6714;gültig;
10.07.2023 20:20;7178;gültig;
10.07.2023 20:30;7121;gültig;
10.07.2023 20:40;7369;gültig;
10.07.2023 20:50;9076;gültig;
10.07.2023 21:00;7104;gültig;
10.07.2023 21:10;6293;gültig;
10.07.2023 21:20;8616;gültig;
10.07.2023 21:30;11136;gültig;
10.07.2023 21:40;10287;gültig;
10.07.2023 21:50;11610;gültig;
10.07.2023 22:00;12208;gültig;
10.07.2023 22:10;12962;gültig;
10.07.2023 22:20;10367;gültig;
10.07.2023 22:30;11778;gültig;
10.07.2023 22:40;11512;gültig;
10.07.2023 22:50;12675;gültig;
10.07.2023 23:00;8208;gültig;
10.07.2023 23:10;8323;gültig;
10.07.2023 23:20;8667;gültig;
10.07.2023 23:30;7896;gültig;
10.07.2023 23:40;6749;gültig;
10.07.2023 23:50;6459;gültig;
11.07.2023 00:00;6084;gültig;
11.07.2023 00:10;5430;gültig;
11.07.2023 00:20;5244;gültig;
11.07.2023 00:30;4952;gültig;
11.07.2023 00:40;5197;gültig;
11.07.2023 00:50;4699;gültig;
11.07.2023 01:00;4871;gültig;
11.07.2023 01:01;;kein Wert;
